pos	A	C	G	T	A	C	G	T	A	C	G	T	A	C	G	T	A	C	G	T	A	C	G	T	A	C	G	T	A	C	G	T	A	C	G	T	A	C	G	T	A	C	G	T	A	C	G	T	A	C	G	T	A	C	G	T
7279	7	1	0	0	619	1	0	0	1003	1	0	0	12	0	0	0	7998	0	0	0	9	0	0	0	19	0	0	0	5	0	0	0	842	0	0	0	1160	2	0	0	1088	0	2	1	501	0	1	0	213	0	0	0	213	0	0	0
7280	7	0	1	0	607	8	1	2	986	7	4	3	11	0	0	1	7976	13	2	7	9	0	0	0	17	0	0	0	5	0	0	0	828	5	3	3	1141	3	7	2	1079	2	5	5	488	2	3	2	203	4	4	3	208	2	0	5
7281	0	8	0	0	0	620	0	0	1	1001	1	1	0	12	0	0	2	7993	1	2	0	9	0	0	0	17	0	0	0	5	0	0	1	832	2	1	3	1151	0	0	0	1074	0	3	0	494	0	0	1	210	0	1	2	212	0	0
7282	0	8	0	0	0	613	1	1	2	989	0	0	0	12	0	0	7	7987	2	1	0	9	0	0	0	16	0	0	0	5	0	0	0	824	1	1	0	1145	1	0	5	1069	0	2	1	488	0	1	0	209	0	0	0	213	0	0
7283	0	8	0	0	1	611	0	0	3	971	0	0	0	12	0	0	10	7984	2	1	0	9	0	0	0	16	0	0	0	6	0	0	0	823	0	0	2	1140	0	0	0	1066	0	2	0	487	1	0	0	209	0	0	1	210	0	0
7284	0	0	0	8	0	0	2	610	0	1	0	966	0	0	0	12	1	2	0	7995	0	0	0	9	0	0	0	15	0	0	0	6	0	0	1	819	1	1	0	1142	1	0	0	1067	1	0	0	478	0	1	1	207	0	2	0	209
7285	0	0	7	0	1	1	609	1	0	0	946	1	0	0	11	0	6	0	7989	3	0	0	9	0	0	0	15	0	0	0	6	0	1	0	812	2	0	1	1134	1	1	1	1054	3	0	0	472	0	0	0	205	0	0	1	204	0
7286	7	0	0	0	601	0	0	0	949	0	0	0	11	0	0	0	7989	3	2	4	9	0	0	0	15	0	0	0	6	0	0	0	811	0	0	2	1129	4	1	1	1050	2	1	0	462	1	0	0	203	0	0	0	204	0	0	0
7287	0	0	0	7	1	0	0	598	0	0	1	939	0	0	0	10	0	4	1	7993	0	0	0	9	0	0	0	15	0	0	0	6	2	0	0	809	2	0	1	1133	0	0	1	1042	0	0	2	454	0	0	0	202	2	0	1	203
7288	0	0	8	0	2	0	589	0	1	0	932	2	0	0	10	0	3	3	7992	0	0	0	9	0	0	0	16	0	0	0	6	0	0	0	801	0	1	1	1119	3	2	0	1039	2	0	0	445	1	2	0	194	2	0	0	203	0
7289	8	0	0	0	588	1	1	0	929	0	0	0	10	0	0	0	7989	3	4	2	8	0	0	1	16	0	0	0	5	0	0	0	794	0	0	0	1120	0	0	1	1035	5	1	2	440	1	0	1	189	1	1	0	200	0	0	1
7290	0	0	8	0	2	1	581	1	1	0	924	0	0	0	11	0	1	0	7995	2	0	0	9	0	0	0	16	0	0	0	5	0	0	0	788	0	0	1	1104	4	1	0	1039	0	0	1	432	1	1	0	189	0	0	1	198	0
7291	0	0	7	0	0	0	576	2	0	1	911	2	0	0	11	0	6	0	7990	0	0	0	9	0	0	0	15	0	0	0	5	0	0	1	782	2	0	2	1088	7	1	1	1031	2	0	1	427	0	0	0	189	1	0	1	194	1
7292	0	7	0	0	1	565	0	0	1	903	0	3	0	11	0	0	6	7986	4	1	0	9	0	0	0	16	0	0	0	5	0	0	1	776	0	1	4	1081	4	1	4	1021	0	0	1	430	0	0	3	186	2	0	1	187	2	1
7293	0	7	0	0	1	557	1	0	0	890	0	1	0	11	0	0	9	7982	3	3	0	8	0	0	0	15	0	0	0	5	0	0	2	774	0	0	3	1078	0	1	1	1018	1	2	0	425	0	0	1	188	0	0	0	193	0	0
7294	0	0	8	0	0	0	557	0	0	1	887	0	0	0	10	0	3	2	7702	4	0	0	8	0	0	0	15	0	0	0	5	0	1	0	764	1	4	1	1064	1	0	1	1015	2	0	0	418	0	0	0	187	0	0	0	189	1
7295	0	0	0	9	2	1	0	554	0	2	2	882	0	0	0	9	3	6	5	7723	0	1	0	7	0	0	0	15	0	0	0	5	2	4	2	755	2	2	4	1056	4	1	2	1005	1	0	1	414	0	1	2	186	5	3	1	181
7296	0	10	0	0	1	551	1	1	0	886	0	2	0	9	0	0	8	7718	3	4	0	9	0	0	0	15	0	0	0	5	0	0	0	756	0	0	3	1053	0	1	2	1000	0	1	0	412	0	0	1	188	0	0	0	190	0	0
7297	0	10	0	0	1	551	0	2	1	879	0	0	0	9	0	0	1	7635	1	1	0	9	0	0	0	15	0	0	0	5	0	0	1	754	0	0	2	1046	1	0	1	1003	0	1	0	408	0	0	1	187	0	0	2	186	0	0
7298	0	10	0	0	1	554	0	0	1	872	0	0	0	9	0	0	4	7619	2	1	0	9	0	0	0	15	0	0	0	5	0	0	0	748	0	0	1	1039	2	1	0	1002	1	2	0	414	0	0	0	186	0	0	1	183	0	0
7299	0	0	0	10	0	0	1	555	1	0	1	872	0	0	0	9	1	2	1	7721	0	0	0	9	0	0	0	15	0	0	0	5	0	0	0	743	1	0	1	1045	1	0	1	997	0	2	0	409	0	0	0	182	0	0	1	185
7300	10	0	0	0	552	0	0	1	859	3	1	2	9	0	0	0	7628	5	2	5	9	0	0	0	15	0	0	0	5	0	0	0	729	1	0	1	1036	1	1	1	987	1	0	1	409	0	0	0	184	0	0	0	184	0	0	0
7301	0	0	8	0	0	0	544	0	0	0	849	0	0	0	8	0	1	0	7329	4	0	0	9	0	0	0	15	0	0	0	5	0	0	0	721	0	0	0	1032	2	0	0	984	1	1	0	407	0	0	0	185	0	0	1	184	1
7302	0	0	0	8	0	0	1	544	1	3	1	834	0	0	0	8	3	1	1	7210	0	0	0	9	0	0	0	15	0	0	0	5	1	1	1	712	0	5	0	1023	5	0	2	978	1	1	0	399	0	0	1	182	1	2	2	181
7303	0	0	0	8	0	0	0	542	0	0	1	836	0	0	0	8	4	0	1	7205	0	0	0	9	0	0	0	14	0	0	0	5	0	0	1	714	1	1	0	1013	1	1	0	970	0	0	0	401	0	0	3	178	0	0	0	184
7304	0	0	0	8	1	0	0	536	0	0	0	834	0	0	0	8	0	2	1	7180	0	0	0	9	0	0	0	13	0	0	0	5	0	0	0	710	0	0	1	1009	0	1	1	967	0	0	0	398	0	0	1	180	0	0	0	182
7305	0	0	0	8	0	0	0	531	0	1	0	839	0	0	0	8	1	1	1	6942	0	0	0	9	0	0	0	13	0	0	0	5	0	0	0	701	0	0	0	999	0	0	2	963	0	0	0	394	0	1	0	177	0	0	0	183
7306	0	0	8	0	0	0	528	0	0	0	830	0	0	0	8	0	1	0	6851	8	0	0	9	0	0	0	12	0	0	0	5	0	3	0	687	3	0	0	986	1	0	0	943	1	0	0	393	0	0	0	175	0	0	0	182	0
7307	0	0	0	8	0	0	0	526	2	2	1	821	0	0	0	8	0	6	1	6806	0	0	0	9	0	0	0	12	0	0	0	5	1	1	2	683	2	2	2	979	0	1	3	936	1	1	0	391	0	0	0	175	0	0	0	178
7308	0	0	0	8	1	0	0	523	0	0	1	818	0	0	0	8	2	1	2	6843	0	0	0	9	0	0	0	12	0	0	0	5	1	0	0	683	0	0	0	975	0	0	0	937	0	0	0	394	0	0	0	173	0	0	0	177
7309	0	0	0	8	0	0	0	517	0	0	0	811	0	0	0	8	2	1	3	6584	0	0	0	9	0	0	0	12	0	0	0	5	0	0	0	676	0	0	0	968	1	0	1	931	0	1	1	387	0	0	2	170	0	2	1	174
7310	0	8	0	0	1	514	0	0	0	806	0	2	0	7	0	0	2	6532	1	3	0	9	0	0	0	12	0	0	0	5	0	0	0	667	1	0	1	949	0	0	1	922	0	0	0	385	0	1	2	167	1	0	1	172	1	0
7311	0	0	0	8	0	0	0	513	0	0	0	802	0	0	0	7	2	5	1	6452	0	0	0	9	0	0	0	12	0	0	0	5	0	0	1	665	0	1	0	939	1	0	0	922	1	0	0	382	0	0	1	169	0	0	0	174
7312	0	0	8	0	0	1	503	1	1	0	789	1	0	0	7	0	1	0	6348	9	1	0	8	0	0	0	12	0	0	0	5	0	1	0	658	1	1	0	932	1	3	0	913	3	0	0	376	0	0	1	165	2	0	0	172	0
7313	0	0	8	0	0	1	494	0	1	0	778	0	0	0	7	0	2	2	6232	9	0	0	9	0	0	0	12	0	0	0	5	0	0	0	646	0	0	0	921	1	0	0	907	2	0	0	373	1	0	0	164	2	0	0	167	1
7314	0	0	0	8	5	3	1	482	1	2	3	776	0	0	0	7	8	1	3	6147	0	0	0	9	0	0	0	13	0	0	0	5	2	0	5	636	1	7	1	895	0	5	7	892	2	0	4	366	0	1	3	163	2	0	4	162
7315	0	0	8	0	4	1	484	1	0	0	761	5	0	0	7	0	2	1	5969	19	0	0	9	0	0	0	13	0	0	0	5	0	0	0	629	4	2	1	890	1	1	2	883	6	0	0	365	1	0	1	162	2	0	0	165	0
7316	0	8	0	0	0	483	0	1	3	754	2	2	0	7	0	0	3	6087	0	5	0	9	0	0	1	12	0	0	0	5	0	0	4	627	0	1	0	889	0	1	0	879	1	1	0	363	1	0	0	161	2	1	0	163	0	2
7317	0	0	0	8	0	0	0	482	0	0	0	756	0	0	0	6	0	2	2	6447	0	0	0	9	0	0	0	12	0	0	0	5	0	0	0	632	0	0	1	882	1	1	0	871	0	1	0	363	0	0	1	162	1	0	1	162
7318	9	0	0	0	474	1	0	0	751	0	0	0	6	0	0	0	6673	0	1	3	9	0	0	0	11	0	0	0	5	0	0	0	632	0	0	2	872	2	0	0	851	2	1	2	362	1	0	1	159	0	0	0	156	0	0	4
7319	0	0	0	9	0	1	0	463	1	2	0	735	0	0	0	7	1	3	0	6949	0	0	0	9	0	0	0	11	0	0	0	5	0	0	0	627	0	0	0	866	0	1	0	853	0	0	0	365	1	0	1	155	0	0	0	157
7320	0	0	9	0	1	0	459	0	0	0	729	0	0	0	7	0	3	2	7366	6	0	0	9	0	0	0	11	0	0	0	5	0	0	2	622	0	0	1	864	0	0	0	854	0	0	0	359	1	0	0	152	0	0	0	156	1
7321	0	0	9	0	0	1	455	1	0	0	726	0	0	0	7	0	4	0	7622	3	0	0	9	0	0	0	11	0	0	0	5	0	0	0	627	0	2	0	858	0	3	0	833	2	0	0	350	2	1	0	150	0	1	0	150	1
7322	0	9	0	0	0	450	0	0	1	709	0	2	0	7	0	0	4	7911	0	5	0	9	0	0	0	11	0	0	0	5	0	0	1	617	0	2	3	846	1	0	2	829	0	1	0	353	0	0	2	146	0	0	2	148	1	1
7323	0	0	0	9	0	0	0	450	0	1	0	708	0	0	0	7	0	3	2	7993	0	0	0	9	0	0	0	11	0	0	0	5	0	0	1	614	0	0	1	842	0	0	2	832	0	0	0	352	0	0	1	148	0	0	1	151
7324	9	0	0	0	443	1	0	0	707	0	1	0	7	0	0	0	7996	0	1	1	9	0	0	0	11	0	0	0	5	0	0	0	598	1	0	0	829	1	0	0	820	0	1	1	349	0	0	0	145	0	1	0	147	0	0	2
7325	9	0	0	0	435	2	0	0	698	0	0	1	7	0	0	0	7993	0	2	3	9	0	0	0	11	0	0	0	5	0	0	0	591	0	0	1	823	0	0	0	809	3	1	0	346	1	0	0	145	0	0	0	145	0	0	1
7326	9	0	0	0	431	0	0	0	690	0	0	0	6	0	0	0	7997	0	0	1	9	0	0	0	11	0	0	0	5	0	0	0	589	1	1	0	815	0	0	1	813	0	1	0	344	0	1	0	143	0	0	0	141	1	0	0
7327	0	0	9	0	1	1	423	0	0	1	677	1	0	0	5	0	2	0	7990	6	0	0	8	0	0	0	7	0	0	0	4	0	0	1	583	0	2	2	799	2	0	1	808	4	0	0	340	0	0	1	138	1	0	0	143	0
7328	0	9	0	0	0	417	0	1	0	672	1	3	0	5	0	0	2	7992	1	3	0	7	1	0	0	7	0	0	0	4	0	0	1	571	0	0	1	790	1	2	0	807	0	0	2	337	0	1	1	133	0	3	0	142	1	1
7329	0	0	0	9	0	1	1	420	0	1	0	672	0	0	0	5	1	2	1	7994	0	0	0	6	0	0	0	7	0	0	0	4	2	0	0	575	0	0	1	794	1	0	1	804	0	0	0	336	0	0	1	135	0	0	1	144
7330	0	0	9	0	0	0	412	1	1	1	661	4	0	0	5	0	6	0	7983	9	0	0	6	0	0	0	7	0	0	0	4	0	1	0	566	3	2	0	784	3	0	0	796	3	0	0	337	0	0	0	132	1	1	0	143	0
7331	0	0	9	0	1	0	410	0	2	1	659	1	0	0	5	0	1	1	7991	5	0	0	6	0	0	0	7	0	0	0	4	0	1	0	564	2	0	0	783	0	1	0	784	1	0	0	328	2	0	0	129	2	0	1	139	1
7332	0	0	0	9	2	0	2	403	2	3	0	659	0	0	0	5	8	0	5	7985	0	0	0	6	0	0	0	7	0	0	0	4	2	1	2	562	0	0	2	778	2	2	2	786	5	1	2	322	2	0	1	124	1	1	3	134
7333	9	0	0	0	403	0	0	0	658	0	0	0	5	0	0	0	7995	0	1	1	6	0	0	0	6	1	0	0	3	0	1	0	568	0	0	1	778	0	0	0	790	0	0	0	330	0	0	0	124	0	0	0	134	1	0	0
7334	9	0	0	0	400	1	0	0	649	0	0	1	5	0	0	0	7996	0	0	2	6	0	0	0	7	0	0	0	3	0	1	0	570	0	0	0	772	0	0	0	785	0	0	1	329	0	0	0	123	0	0	0	134	0	0	0
7335	9	0	0	0	399	0	0	0	650	0	0	0	5	0	0	0	7994	0	4	0	6	1	0	0	7	0	0	0	4	0	0	0	564	0	0	0	771	0	0	0	793	0	0	0	324	0	0	1	120	0	1	1	130	0	0	0
7336	0	0	8	0	1	0	391	2	0	0	639	1	0	0	5	0	0	2	7990	6	0	1	6	0	0	0	7	0	0	0	3	0	1	0	561	1	2	0	758	1	0	0	786	0	0	1	319	0	0	0	117	2	0	0	129	0
7337	0	0	8	0	1	1	393	0	1	0	627	4	0	0	5	0	2	0	7985	11	0	1	7	0	0	0	7	0	0	0	3	0	2	0	553	3	2	0	751	1	0	1	780	4	0	0	313	1	0	0	117	0	2	1	125	0
7338	8	0	0	0	390	2	3	5	627	5	1	3	4	0	0	0	7961	11	9	16	8	0	0	0	6	0	1	0	2	0	0	0	551	1	0	6	747	3	0	3	778	2	5	6	303	3	3	6	112	3	1	1	120	3	2	2
7339	0	8	0	0	1	410	0	0	3	632	0	1	0	4	0	0	3	7992	0	3	0	8	0	0	0	7	0	0	0	2	0	0	1	561	2	0	2	745	1	0	1	788	0	1	1	313	0	1	1	114	0	1	0	124	0	0
7340	0	0	0	8	1	0	0	405	1	0	0	645	0	0	0	4	1	0	1	7996	0	1	0	7	0	0	0	7	0	0	0	2	0	0	0	565	2	0	2	754	0	0	0	785	0	0	1	314	0	0	0	115	0	0	0	122
7341	0	0	0	9	0	0	0	405	0	0	0	648	0	0	0	4	0	2	1	7995	0	0	0	8	0	0	0	7	0	0	0	2	0	0	0	572	0	0	1	756	0	0	0	792	0	0	0	313	0	0	0	116	0	0	0	121
7342	0	9	0	0	1	409	0	1	1	648	0	1	0	3	0	0	3	7989	1	5	0	8	0	0	0	7	0	0	0	1	0	0	1	569	1	2	0	754	0	2	0	791	0	1	0	321	0	0	1	116	0	0	0	118	3	0
7343	0	0	0	9	1	1	0	408	0	1	0	648	0	0	0	3	0	3	1	7994	0	0	0	7	0	0	0	7	0	0	0	1	0	0	0	568	0	0	0	751	0	0	1	797	0	1	0	315	0	1	0	115	0	0	0	121
7344	0	0	0	9	0	0	0	413	1	0	0	653	0	0	0	3	3	2	3	7989	0	0	0	7	0	0	0	7	1	0	0	0	0	0	0	574	0	0	0	748	0	0	0	804	0	0	0	318	0	0	1	112	0	0	0	121
7345	0	0	9	0	0	0	413	1	0	0	659	0	0	0	3	0	0	0	7996	1	0	0	7	0	0	0	7	0	0	0	1	0	0	0	580	0	0	0	747	0	2	0	811	0	0	0	315	4	0	0	108	1	0	0	118	0
7346	9	0	0	0	412	0	1	0	659	0	0	0	4	0	0	0	7990	1	5	2	7	0	0	0	7	0	0	0	1	0	0	0	584	0	0	0	749	1	0	2	805	2	1	2	320	0	0	0	109	0	1	0	115	0	1	0
7347	9	0	0	0	414	0	0	0	667	0	0	0	4	0	0	0	7991	1	2	4	7	0	0	0	7	0	0	0	2	0	0	0	582	3	0	0	753	0	0	1	810	1	0	1	324	0	0	0	111	0	0	0	119	1	0	0
7348	0	0	9	0	1	0	412	0	0	0	670	3	0	0	4	0	0	1	7980	16	0	0	6	0	0	0	6	0	0	0	1	1	0	0	587	1	1	0	753	4	1	0	810	4	0	0	323	2	0	0	110	0	0	0	118	1
7349	0	0	9	0	0	0	412	1	0	0	674	4	0	0	4	0	0	2	7988	7	0	0	6	0	0	0	6	0	0	0	2	0	2	0	591	1	0	0	755	0	1	0	812	0	1	0	321	0	0	1	107	2	0	1	115	2
7350	0	0	0	9	3	0	2	411	5	2	3	674	0	0	0	5	18	5	14	7961	0	0	0	6	0	1	1	4	0	0	0	2	4	0	2	590	5	1	2	748	7	0	6	800	3	3	8	312	2	0	2	107	3	2	3	110
7351	9	0	0	0	418	1	1	1	679	3	1	3	5	0	0	0	7978	7	7	6	6	0	0	0	6	0	0	0	2	0	0	0	592	4	4	4	752	3	1	2	811	3	5	0	324	4	0	1	107	1	1	1	114	1	0	1
7352	0	9	0	0	0	424	0	0	2	687	2	2	0	5	0	0	6	7990	0	2	0	6	0	0	0	6	0	0	0	2	0	0	1	602	0	0	0	754	0	1	1	816	0	0	0	329	1	1	0	112	0	0	0	114	0	0
7353	0	0	9	0	0	0	421	0	1	0	688	2	0	0	5	0	2	0	7985	11	0	0	6	0	0	0	6	0	0	0	2	0	0	1	598	2	1	0	750	2	0	0	818	0	0	0	329	2	0	0	109	2	0	0	113	0
7354	0	0	0	8	0	2	0	415	1	1	1	689	0	0	0	5	3	1	3	7991	0	0	0	5	0	0	0	6	0	0	0	2	0	0	0	600	1	0	1	749	2	1	1	814	0	0	2	331	0	2	0	107	0	0	1	111
7355	0	0	0	8	0	0	0	416	0	0	1	695	0	0	0	6	3	4	2	7989	0	0	0	5	0	0	0	7	0	0	0	2	1	0	1	602	1	0	1	756	1	0	0	812	0	0	0	339	0	1	1	109	0	0	0	112
7356	0	0	9	0	1	0	418	0	1	0	702	1	0	0	6	0	3	2	7986	7	0	0	5	0	0	0	8	0	0	0	2	0	1	1	598	1	0	1	756	1	0	0	810	3	3	0	341	0	0	0	107	1	0	0	111	0
7357	0	9	0	0	0	424	0	0	1	704	0	0	0	6	0	0	4	7990	2	2	0	5	0	0	0	8	0	0	0	2	0	0	0	602	1	0	0	753	0	1	1	804	1	0	0	341	0	1	1	105	0	0	0	108	1	0
7358	9	0	0	0	423	1	1	0	706	1	0	0	6	0	0	0	7987	5	4	2	5	0	0	0	8	0	0	0	2	0	0	0	606	0	1	1	758	1	1	0	810	2	1	0	344	1	1	1	104	0	0	0	108	0	2	0
7359	0	0	9	0	0	0	426	1	1	0	711	2	0	0	6	0	2	0	7994	2	0	0	5	0	0	0	8	0	0	0	2	0	0	0	609	4	1	0	770	0	0	1	818	0	0	0	341	2	0	0	105	1	0	0	107	0
7360	0	0	9	0	0	1	426	1	0	0	718	4	0	0	6	0	3	5	7982	8	0	0	5	0	0	0	8	0	0	0	2	0	2	0	612	5	2	1	762	0	0	1	817	2	0	0	337	1	0	0	102	1	1	0	105	0
7361	0	10	0	0	1	428	0	0	2	716	1	2	0	6	0	0	2	7991	3	2	0	5	0	0	0	7	0	1	0	2	0	0	2	614	1	0	0	755	1	2	1	808	6	2	2	332	2	2	0	101	1	1	0	102	0	1
7362	0	0	0	10	0	1	1	429	0	1	1	738	0	0	0	6	3	0	3	7992	0	0	0	5	0	0	0	8	0	0	0	2	1	0	2	623	3	0	1	759	0	1	2	819	1	0	0	334	0	0	0	103	1	0	3	96
7363	0	1	9	0	0	1	429	1	2	1	736	4	0	0	6	0	2	0	7989	6	0	0	5	0	0	0	7	0	0	0	1	1	0	1	628	2	1	0	761	0	0	0	823	0	0	0	334	0	1	0	101	0	0	0	98	0
7364	0	0	10	0	0	0	434	0	0	1	747	0	0	0	6	0	4	2	7986	6	0	0	6	0	0	0	7	0	0	0	2	0	0	0	630	1	0	3	764	0	2	0	819	0	0	1	331	2	1	1	100	1	0	0	95	2
7365	0	9	0	0	0	436	0	0	2	745	3	0	0	6	0	0	11	7979	3	5	1	5	0	0	0	7	0	0	0	2	0	0	1	631	2	1	3	766	1	1	1	815	3	3	1	339	0	0	1	103	1	0	0	96	1	0
7366	8	0	1	0	427	5	1	6	734	9	2	7	6	0	0	0	7947	22	8	21	5	0	0	1	7	0	0	0	2	0	0	0	616	7	2	11	754	11	5	8	799	10	7	13	319	12	1	9	99	7	0	1	86	7	2	3
7367	0	9	0	0	0	433	1	1	3	754	0	0	0	5	0	0	7	7985	0	6	0	5	0	0	0	8	0	0	0	2	0	0	1	626	1	0	1	772	1	4	2	828	1	1	0	341	0	1	2	103	0	1	1	92	1	2
7368	0	0	0	9	0	0	0	440	0	1	2	757	0	0	0	5	2	2	0	7994	0	0	0	5	0	0	0	7	0	0	0	2	0	0	0	630	0	0	1	780	1	0	2	836	0	0	0	341	1	0	0	106	0	0	0	98
7369	0	0	0	9	0	0	0	437	0	0	1	763	0	0	0	5	1	3	0	7994	0	0	0	5	0	0	0	7	0	0	0	2	0	0	1	629	0	1	0	777	1	1	0	831	0	0	0	340	0	1	1	104	0	0	0	99
7370	0	9	0	0	0	431	1	1	1	761	0	0	0	5	0	0	4	7987	0	7	0	5	0	0	0	7	0	0	0	2	0	0	1	631	1	0	1	773	0	1	3	821	1	4	1	339	0	1	0	104	1	0	0	95	0	1
7371	0	0	0	9	0	0	0	437	0	0	1	758	0	0	0	5	1	8	0	7989	0	0	0	5	0	0	0	7	0	0	0	2	0	0	1	632	1	1	0	780	1	0	1	821	0	1	0	341	0	0	0	107	0	0	0	94
7372	0	0	9	0	0	0	435	0	1	0	761	2	0	0	5	0	3	0	7990	5	0	0	6	0	0	0	6	1	0	0	2	0	0	0	636	2	0	0	783	3	1	2	817	2	0	0	338	0	0	1	103	1	0	0	92	1
7373	0	9	0	0	0	437	1	0	1	767	3	0	0	6	0	0	4	7990	0	3	0	5	0	0	0	7	0	0	0	3	0	0	0	642	0	2	0	785	1	1	1	814	0	3	0	334	1	1	0	104	0	0	1	89	1	1
7374	0	9	0	0	1	441	0	0	0	775	0	0	0	6	0	0	1	7992	2	2	0	5	0	0	0	7	0	0	0	3	0	0	0	651	0	1	0	789	0	0	1	823	3	4	0	339	1	0	0	105	0	0	0	90	0	0
7375	0	0	9	0	0	0	441	0	0	2	775	2	0	0	6	0	0	1	7984	13	0	0	5	0	0	0	7	1	0	0	3	0	0	1	648	3	0	0	786	4	0	0	837	3	0	0	337	3	0	0	105	0	0	0	89	2
7376	0	0	0	9	0	1	1	442	0	1	1	783	0	0	0	6	8	3	6	7981	0	0	0	5	0	0	0	8	0	0	0	3	1	0	0	646	2	0	0	792	0	2	3	837	2	1	2	334	0	1	1	104	0	0	1	92
7377	0	0	0	9	0	0	0	444	1	0	0	787	0	0	0	6	2	0	0	7993	0	0	0	6	0	0	0	8	0	0	0	3	0	1	0	650	0	0	0	802	1	0	0	847	0	0	0	335	0	0	0	110	0	0	0	94
7378	0	0	0	9	0	0	0	441	0	0	1	788	0	0	0	6	5	0	0	7993	0	0	0	6	0	0	0	8	0	0	0	3	0	0	0	650	0	0	0	806	0	0	0	856	0	0	0	336	0	0	0	109	0	0	0	93
7379	0	9	0	0	0	439	0	1	2	789	0	1	0	6	0	0	4	7989	2	2	0	6	0	0	0	8	0	0	0	3	0	0	0	647	0	1	1	805	1	0	1	854	1	0	0	334	0	2	2	107	0	0	1	92	0	0
7380	0	0	0	9	0	1	2	440	0	0	1	794	0	0	0	6	3	2	2	7991	0	0	1	6	0	0	0	8	0	0	0	3	0	0	1	651	0	0	0	815	1	1	2	860	0	0	0	342	1	1	1	106	0	0	0	94
7381	0	0	9	0	0	0	443	2	3	0	792	1	0	0	6	0	3	1	7985	8	0	0	7	0	0	0	9	0	0	0	3	0	1	1	649	2	1	0	818	1	2	0	870	5	0	0	343	1	1	0	105	3	0	0	92	0
7382	9	0	0	0	446	0	1	1	794	0	0	2	6	0	0	0	7984	3	7	3	7	0	0	0	9	0	0	0	3	0	0	0	654	0	1	0	816	2	1	1	873	3	0	1	340	1	1	1	107	0	2	0	91	0	0	1
7383	0	0	0	9	0	0	0	445	1	1	0	795	0	0	0	6	1	1	1	7992	0	0	0	7	0	0	0	9	0	0	0	2	3	0	0	648	0	0	0	819	0	1	3	879	0	0	1	342	0	2	1	107	0	0	1	94
7384	9	0	0	0	442	1	1	0	802	2	1	3	6	0	0	0	7993	2	2	1	7	0	0	0	9	0	0	0	2	0	0	0	654	1	1	0	809	0	2	0	880	0	0	1	344	1	1	1	107	0	0	0	98	0	0	0
7385	9	0	0	0	442	1	0	0	814	1	1	0	6	0	0	0	7993	2	2	0	7	0	0	0	9	0	0	0	3	0	0	0	659	0	0	2	817	1	1	0	880	0	0	1	345	0	0	0	108	0	0	0	94	0	1	1
7386	0	0	9	0	1	0	441	0	1	0	808	4	0	0	6	0	0	0	7993	5	0	0	7	0	0	0	9	0	0	0	3	0	0	0	668	0	0	1	819	2	1	1	877	0	0	0	343	1	0	0	107	0	0	1	95	0
7387	0	0	0	9	1	0	0	445	2	0	5	810	0	0	0	6	12	1	3	7981	1	0	0	6	0	0	0	9	0	0	0	3	2	0	0	667	5	0	2	812	2	1	1	882	0	0	4	346	1	0	2	105	1	0	0	95
7388	0	0	0	8	0	0	0	448	1	0	1	821	0	0	0	6	2	0	0	7995	0	0	1	6	0	0	0	9	0	0	0	3	0	0	1	673	0	0	0	815	0	0	2	884	0	0	0	349	0	0	0	108	0	0	0	95
7389	0	0	8	0	0	0	443	2	0	0	823	0	0	0	6	0	1	0	7992	5	0	0	7	0	0	0	9	0	0	0	3	0	0	0	676	2	2	0	811	2	0	0	881	1	0	0	353	1	0	0	108	1	0	0	94	0
7390	0	8	0	0	0	448	0	2	3	823	2	1	0	5	0	0	2	7992	0	3	0	7	0	0	0	9	0	0	0	3	0	0	0	674	0	3	1	823	1	1	1	880	2	0	0	355	0	2	0	109	0	0	1	91	1	1
7391	0	0	0	8	0	0	0	448	0	0	1	827	0	0	0	5	1	1	1	7995	0	0	0	7	0	0	0	9	0	0	0	3	0	0	0	676	1	2	1	827	3	0	0	874	0	0	0	361	0	0	0	109	0	0	0	95
7392	0	0	0	8	0	1	1	447	0	0	0	835	0	0	0	5	2	1	1	7994	0	0	0	7	0	0	0	8	0	0	0	3	0	0	1	680	0	0	2	832	0	0	1	881	0	0	0	360	0	0	1	109	0	0	0	93
7393	0	0	7	0	0	0	442	3	1	1	832	1	0	0	5	0	0	0	7990	8	0	0	7	0	0	0	8	0	0	0	3	0	0	0	675	2	1	1	825	1	0	0	872	3	0	0	357	2	0	0	109	0	0	0	90	2
7394	6	0	0	0	442	1	0	1	825	1	1	3	5	0	0	0	7982	2	6	6	7	0	0	0	8	0	0	0	3	0	0	0	678	1	2	1	830	0	2	2	869	1	0	4	356	0	3	2	107	2	1	0	90	0	1	0
7395	0	0	0	5	0	0	3	443	1	1	0	830	0	0	0	5	0	0	2	7709	0	0	0	7	0	0	0	8	0	0	0	3	0	0	0	682	2	0	0	833	0	0	2	872	0	0	0	362	0	0	0	111	0	0	0	91
7396	0	0	0	5	0	0	0	449	0	0	0	829	0	0	0	5	3	0	1	7630	0	0	0	6	0	0	0	8	0	0	0	3	0	0	0	687	0	0	2	835	0	1	0	876	0	0	1	357	0	0	0	110	0	0	0	91
7397	0	0	0	5	0	0	0	449	0	0	0	834	0	0	0	6	1	1	2	7569	0	0	0	6	0	0	0	8	0	0	0	3	0	0	1	687	1	0	1	830	0	1	1	872	0	0	1	358	0	0	0	111	0	0	1	90
